"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Lincoln","2015-03-28","initial","2","1","1","100.00%","3"
"Lyon","2015-03-28","initial","69","55","14","25.45%","62"
"Mineral","2015-03-28","initial","7","3","4","133.33%","5"
"Nye","2015-03-28","initial","32","24","8","33.33%","30"
"Pershing","2015-03-28","initial","1","0","1","Inf","1"
"Storey","2015-03-28","initial","0","3","-3","-100.00%","1"
"Washoe","2015-03-28","initial","362","349","13","3.72%","390"
"White Pine","2015-03-28","initial","6","4","2","50.00%","6"
"Unknown","2015-03-28","initial","123","114","9","7.89%","126"
"Carson City","2015-03-28","continued","540","548","-8","-1.46%","566"
"Churchill","2015-03-28","continued","236","244","-8","-3.28%","238"
"Clark","2015-03-28","continued","19,378","19,230","148","0.77%","19,769"
"Douglas","2015-03-28","continued","390","388","2","0.52%","403"
"Elko","2015-03-28","continued","356","362","-6","-1.66%","387"
"Esmeralda","2015-03-28","continued","5","5","0","0.00%","6"
"Eureka","2015-03-28","continued","18","15","3","20.00%","16"
"Humboldt","2015-03-28","continued","149","149","0","0.00%","150"
"Lander","2015-03-28","continued","90","90","0","0.00%","95"
"Lincoln","2015-03-28","continued","21","20","1","5.00%","21"
"Lyon","2015-03-28","continued","677","708","-31","-4.38%","710"
"Mineral","2015-03-28","continued","58","54","4","7.41%","56"
"Nye","2015-03-28","continued","306","305","1","0.33%","314"
"Pershing","2015-03-28","continued","35","34","1","2.94%","35"
"Storey","2015-03-28","continued","13","13","0","0.00%","14"
"Washoe","2015-03-28","continued","3,984","4,030","-46","-1.14%","4,155"
"White Pine","2015-03-28","continued","79","77","2","2.60%","80"
"Unknown","2015-03-28","continued","781","799","-18","-2.25%","829"
"Carson City","2015-03-21","initial","60","50","10","20.00%","50"
"Churchill","2015-03-21","initial","14","26","-12","-46.15%","24"
"Clark","2015-03-21","initial","2,222","2,183","39","1.79%","2,306"
"Douglas","2015-03-21","initial","36","36","0","0.00%","32"
"Elko","2015-03-21","initial","40","18","22","122.22%","31"
"Esmeralda","2015-03-21","initial","1","0","1","Inf","1"
"Eureka","2015-03-21","initial","3","2","1","50.00%","2"
"Humboldt","2015-03-21","initial","7","15","-8","-53.33%","10"
"Lander","2015-03-21","initial","6","7","-1","-14.29%","7"
"Lincoln","2015-03-21","initial","1","6","-5","-83.33%","4"
"Lyon","2015-03-21","initial","55","55","0","0.00%","63"
"Mineral","2015-03-21","initial","3","5","-2","-40.00%","4"
"Nye","2015-03-21","initial","24","36","-12","-33.33%","28"
"Pershing","2015-03-21","initial","0","1","-1","-100.00%","1"
"Storey","2015-03-21","initial","3","0","3","Inf","1"
"Washoe","2015-03-21","initial","349","434","-85","-19.59%","403"
"White Pine","2015-03-21","initial","4","6","-2","-33.33%","5"
"Unknown","2015-03-21","initial","114","126","-12","-9.52%","130"
"Carson City","2015-03-21","continued","548","572","-24","-4.20%","587"
"Churchill","2015-03-21","continued","244","237","7","2.95%","236"
"Clark","2015-03-21","continued","19,230","20,068","-838","-4.18%","20,058"
"Douglas","2015-03-21","continued","388","412","-24","-5.83%","412"
"Elko","2015-03-21","continued","362","402","-40","-9.95%","408"
"Esmeralda","2015-03-21","continued","5","7","-2","-28.57%","6"
"Eureka","2015-03-21","continued","15","13","2","15.38%","14"
"Humboldt","2015-03-21","continued","149","141","8","5.67%","148"
"Lander","2015-03-21","continued","90","102","-12","-11.76%","96"
"Lincoln","2015-03-21","continued","20","21","-1","-4.76%","20"
"Lyon","2015-03-21","continued","708","724","-16","-2.21%","718"
"Mineral","2015-03-21","continued","54","55","-1","-1.82%","54"
"Nye","2015-03-21","continued","305","322","-17","-5.28%","321"
"Pershing","2015-03-21","continued","34","36","-2","-5.56%","36"
"Storey","2015-03-21","continued","13","14","-1","-7.14%","15"
"Washoe","2015-03-21","continued","4,030","4,193","-163","-3.89%","4,268"
"White Pine","2015-03-21","continued","77","82","-5","-6.10%","82"
"Unknown","2015-03-21","continued","799","867","-68","-7.84%","853"
"Carson City","2015-03-14","initial","50","42","8","19.05%","50"
"Churchill","2015-03-14","initial","26","27","-1","-3.70%","28"
"Clark","2015-03-14","initial","2,183","2,386","-203","-8.51%","2,314"
"Douglas","2015-03-14","initial","36","31","5","16.13%","32"
"Elko","2015-03-14","initial","18","27","-9","-33.33%","31"
"Esmeralda","2015-03-14","initial","0","1","-1","-100.00%","0"
"Eureka","2015-03-14","initial","2","1","1","100.00%","2"
"Humboldt","2015-03-14","initial","15","6","9","150.00%","11"
"Lander","2015-03-14","initial","7","7","0","0.00%","7"
"Lincoln","2015-03-14","initial","6","4","2","50.00%","4"
"Lyon","2015-03-14","initial","55","67","-12","-17.91%","67"
"Mineral","2015-03-14","initial","5","5","0","0.00%","5"
"Nye","2015-03-14","initial","36","27","9","33.33%","29"
"Pershing","2015-03-14","initial","1","2","-1","-50.00%","2"
"Storey","2015-03-14","initial","0","0","0","","1"
"Washoe","2015-03-14","initial","434","414","20","4.83%","435"
"White Pine","2015-03-14","initial","6","6","0","0.00%","6"
"Unknown","2015-03-14","initial","126","141","-15","-10.64%","134"
"Carson City","2015-03-14","continued","572","604","-32","-5.30%","610"
"Churchill","2015-03-14","continued","237","235","2","0.85%","230"
"Clark","2015-03-14","continued","20,068","20,399","-331","-1.62%","20,365"
"Douglas","2015-03-14","continued","412","422","-10","-2.37%","425"
"Elko","2015-03-14","continued","402","428","-26","-6.07%","431"
"Esmeralda","2015-03-14","continued","7","6","1","16.67%","6"
"Eureka","2015-03-14","continued","13","16","-3","-18.75%","14"
"Humboldt","2015-03-14","continued","141","159","-18","-11.32%","148"
"Lander","2015-03-14","continued","102","97","5","5.15%","99"
"Lincoln","2015-03-14","continued","21","21","0","0.00%","20"
"Lyon","2015-03-14","continued","724","729","-5","-0.69%","720"
"Mineral","2015-03-14","continued","55","59","-4","-6.78%","53"
"Nye","2015-03-14","continued","322","324","-2","-0.62%","328"
"Pershing","2015-03-14","continued","36","36","0","0.00%","35"
"Storey","2015-03-14","continued","14","16","-2","-12.50%","16"
"Washoe","2015-03-14","continued","4,193","4,412","-219","-4.96%","4,390"
"White Pine","2015-03-14","continued","82","84","-2","-2.38%","84"
"Unknown","2015-03-14","continued","867","868","-1","-0.12%","876"
"Carson City","2015-03-07","initial","42","49","-7","-14.29%","55"
"Churchill","2015-03-07","initial","27","31","-4","-12.90%","31"
"Clark","2015-03-07","initial","2,386","2,435","-49","-2.01%","2,359"
"Douglas","2015-03-07","initial","31","23","8","34.78%","33"
"Elko","2015-03-07","initial","27","40","-13","-32.50%","40"
"Esmeralda","2015-03-07","initial","1","1","0","0.00%","1"
"Eureka","2015-03-07","initial","1","4","-3","-75.00%","2"
"Humboldt","2015-03-07","initial","6","12","-6","-50.00%","10"
"Lander","2015-03-07","initial","7","7","0","0.00%","9"
"Lincoln","2015-03-07","initial","4","4","0","0.00%","4"
"Lyon","2015-03-07","initial","67","75","-8","-10.67%","72"
"Mineral","2015-03-07","initial","5","3","2","66.67%","4"
"Nye","2015-03-07","initial","27","27","0","0.00%","31"
"Pershing","2015-03-07","initial","2","2","0","0.00%","3"
"Storey","2015-03-07","initial","0","2","-2","-100.00%","2"
"Washoe","2015-03-07","initial","414","414","0","0.00%","448"
"White Pine","2015-03-07","initial","6","5","1","20.00%","6"
"Unknown","2015-03-07","initial","141","140","1","0.71%","139"
"Carson City","2015-03-07","continued","604","625","-21","-3.36%","627"
"Churchill","2015-03-07","continued","235","228","7","3.07%","223"
"Clark","2015-03-07","continued","20,399","20,536","-137","-0.67%","20,539"
"Douglas","2015-03-07","continued","422","428","-6","-1.40%","432"
"Elko","2015-03-07","continued","428","439","-11","-2.51%","448"
"Esmeralda","2015-03-07","continued","6","8","-2","-25.00%","6"
"Eureka","2015-03-07","continued","16","14","2","14.29%","15"
"Humboldt","2015-03-07","continued","159","144","15","10.42%","154"
"Lander","2015-03-07","continued","97","97","0","0.00%","96"
"Lincoln","2015-03-07","continued","21","19","2","10.53%","21"
"Lyon","2015-03-07","continued","729","709","20","2.82%","722"
"Mineral","2015-03-07","continued","59","50","9","18.00%","50"
"Nye","2015-03-07","continued","324","333","-9","-2.70%","330"
"Pershing","2015-03-07","continued","36","36","0","0.00%","33"
"Storey","2015-03-07","continued","16","16","0","0.00%","16"
"Washoe","2015-03-07","continued","4,412","4,438","-26","-0.59%","4,458"
"White Pine","2015-03-07","continued","84","84","0","0.00%","86"
"Unknown","2015-03-07","continued","868","878","-10","-1.14%","880"
"Carson City","2015-02-28","initial","49","57","-8","-14.04%","61"
"Churchill","2015-02-28","initial","31","28","3","10.71%","30"
"Clark","2015-02-28","initial","2,435","2,250","185","8.22%","2,410"
"Douglas","2015-02-28","initial","23","40","-17","-42.50%","38"
"Elko","2015-02-28","initial","40","40","0","0.00%","43"
"Esmeralda","2015-02-28","initial","1","0","1","Inf","1"
"Eureka","2015-02-28","initial","4","1","3","300.00%","2"
"Humboldt","2015-02-28","initial","12","10","2","20.00%","12"
"Lander","2015-02-28","initial","7","6","1","16.67%","9"
"Lincoln","2015-02-28","initial","4","2","2","100.00%","3"
"Lyon","2015-02-28","initial","75","71","4","5.63%","73"
"Mineral","2015-02-28","initial","3","7","-4","-57.14%","4"
"Nye","2015-02-28","initial","27","27","0","0.00%","30"
"Pershing","2015-02-28","initial","2","4","-2","-50.00%","3"
"Storey","2015-02-28","initial","2","3","-1","-33.33%","2"
"Washoe","2015-02-28","initial","414","479","-65","-13.57%","465"
"White Pine","2015-02-28","initial","5","6","-1","-16.67%","6"
"Unknown","2015-02-28","initial","140","131","9","6.87%","140"
"Carson City","2015-02-28","continued","625","640","-15","-2.34%","637"
"Churchill","2015-02-28","continued","228","220","8","3.64%","216"
"Clark","2015-02-28","continued","20,536","20,458","78","0.38%","20,646"
"Douglas","2015-02-28","continued","428","439","-11","-2.51%","437"
"Elko","2015-02-28","continued","439","456","-17","-3.73%","459"
"Esmeralda","2015-02-28","continued","8","5","3","60.00%","7"
"Eureka","2015-02-28","continued","14","15","-1","-6.67%","16"
"Humboldt","2015-02-28","continued","144","149","-5","-3.36%","153"
"Lander","2015-02-28","continued","97","99","-2","-2.02%","93"
"Lincoln","2015-02-28","continued","19","21","-2","-9.52%","21"
"Lyon","2015-02-28","continued","709","720","-11","-1.53%","722"
"Mineral","2015-02-28","continued","50","47","3","6.38%","46"
"Nye","2015-02-28","continued","333","335","-2","-0.60%","332"
"Pershing","2015-02-28","continued","36","32","4","12.50%","32"
"Storey","2015-02-28","continued","16","18","-2","-11.11%","18"
"Washoe","2015-02-28","continued","4,438","4,518","-80","-1.77%","4,475"
"White Pine","2015-02-28","continued","84","86","-2","-2.33%","86"
"Unknown","2015-02-28","continued","878","889","-11","-1.24%","891"
"Carson City","2015-02-21","initial","57","72","-15","-20.83%","68"
"Churchill","2015-02-21","initial","28","37","-9","-24.32%","28"
"Clark","2015-02-21","initial","2,250","2,366","-116","-4.90%","2,478"
"Douglas","2015-02-21","initial","40","39","1","2.56%","44"
"Elko","2015-02-21","initial","40","54","-14","-25.93%","46"
"Esmeralda","2015-02-21","initial","0","2","-2","-100.00%","1"
"Eureka","2015-02-21","initial","1","0","1","Inf","1"
"Humboldt","2015-02-21","initial","10","14","-4","-28.57%","12"
"Lander","2015-02-21","initial","6","15","-9","-60.00%","9"
"Lincoln","2015-02-21","initial","2","4","-2","-50.00%","2"
"Lyon","2015-02-21","initial","71","75","-4","-5.33%","77"
