state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Jerauld,46073,2019,10,28,2.50%
South Dakota,46,SD,Jones,46075,2019,10,15,2.80%
South Dakota,46,SD,Kingsbury,46077,2019,10,71,2.70%
South Dakota,46,SD,Lake,46079,2019,10,225,3.30%
South Dakota,46,SD,Lawrence,46081,2019,10,424,3.10%
South Dakota,46,SD,Lincoln,46083,2019,10,855,2.40%
South Dakota,46,SD,Lyman,46085,2019,10,76,4.40%
South Dakota,46,SD,McCook,46087,2019,10,76,3.20%
South Dakota,46,SD,McPherson,46089,2019,10,81,2.60%
South Dakota,46,SD,Marshall,46091,2019,10,40,4.00%
South Dakota,46,SD,Meade,46093,2019,10,459,3.20%
South Dakota,46,SD,Mellette,46095,2019,10,41,5.60%
South Dakota,46,SD,Miner,46097,2019,10,40,3.30%
South Dakota,46,SD,Minnehaha,46099,2019,10,"2,998",2.60%
South Dakota,46,SD,Moody,46101,2019,10,124,3.10%
South Dakota,46,SD,Pennington,46103,2019,10,326,9.20%
South Dakota,46,SD,Perkins,46105,2019,10,"1,830",3.20%
South Dakota,46,SD,Potter,46107,2019,10,45,3.20%
South Dakota,46,SD,Roberts,46109,2019,10,33,3.20%
South Dakota,46,SD,Sanborn,46111,2019,10,157,3.10%
South Dakota,46,SD,Shannon,46113,2019,10,35,3.00%
South Dakota,46,SD,Spink,46115,2019,10,104,3.30%
South Dakota,46,SD,Stanley,46117,2019,10,46,2.50%
South Dakota,46,SD,Sully,46119,2019,10,23,2.90%
South Dakota,46,SD,Todd,46121,2019,10,199,6.30%
South Dakota,46,SD,Tripp,46123,2019,10,86,2.80%
South Dakota,46,SD,Turner,46125,2019,10,133,2.80%
South Dakota,46,SD,Union,46127,2019,10,290,3.40%
South Dakota,46,SD,Walworth,46129,2019,10,98,4.60%
South Dakota,46,SD,Yankton,46135,2019,10,343,2.90%
South Dakota,46,SD,Ziebach,46137,2019,10,51,5.40%
South Dakota,46,SD,Aurora,46003,2019,9,49,3.20%
South Dakota,46,SD,Beadle,46005,2019,9,279,3.00%
South Dakota,46,SD,Bennett,46007,2019,9,60,5.50%
South Dakota,46,SD,Bon Homme,46009,2019,9,85,3.00%
South Dakota,46,SD,Brookings,46011,2019,9,555,2.90%
South Dakota,46,SD,Brown,46013,2019,9,602,2.90%
South Dakota,46,SD,Brule,46015,2019,9,77,3.20%
South Dakota,46,SD,Buffalo,46017,2019,9,51,7.70%
South Dakota,46,SD,Butte,46019,2019,9,157,3.10%
South Dakota,46,SD,Campbell,46021,2019,9,25,3.20%
South Dakota,46,SD,Charles Mix,46023,2019,9,126,3.40%
South Dakota,46,SD,Clark,46025,2019,9,68,3.60%
South Dakota,46,SD,Clay,46027,2019,9,217,2.90%
South Dakota,46,SD,Codington,46029,2019,9,430,2.80%
South Dakota,46,SD,Corson,46031,2019,9,81,5.90%
South Dakota,46,SD,Custer,46033,2019,9,153,3.80%
South Dakota,46,SD,Davison,46035,2019,9,294,2.70%
South Dakota,46,SD,Day,46037,2019,9,96,3.50%
South Dakota,46,SD,Deuel,46039,2019,9,79,3.60%
South Dakota,46,SD,Dewey,46041,2019,9,170,7.60%
South Dakota,46,SD,Douglas,46043,2019,9,40,2.50%
South Dakota,46,SD,Edmunds,46045,2019,9,60,2.90%
South Dakota,46,SD,Fall River,46047,2019,9,119,4.00%
South Dakota,46,SD,Faulk,46049,2019,9,34,3.20%
South Dakota,46,SD,Grant,46051,2019,9,115,2.60%
South Dakota,46,SD,Gregory,46053,2019,9,64,3.10%
South Dakota,46,SD,Haakon,46055,2019,9,28,2.70%
South Dakota,46,SD,Hamlin,46057,2019,9,89,2.70%
South Dakota,46,SD,Hand,46059,2019,9,47,2.70%
South Dakota,46,SD,Hanson,46061,2019,9,62,3.60%
South Dakota,46,SD,Harding,46063,2019,9,21,2.80%
South Dakota,46,SD,Hughes,46065,2019,9,243,2.40%
South Dakota,46,SD,Hutchinson,46067,2019,9,100,2.80%
South Dakota,46,SD,Hyde,46069,2019,9,23,3.30%
South Dakota,46,SD,Jackson,46071,2019,9,66,5.00%
South Dakota,46,SD,Jerauld,46073,2019,9,30,2.70%
South Dakota,46,SD,Jones,46075,2019,9,15,2.60%
South Dakota,46,SD,Kingsbury,46077,2019,9,68,2.60%
South Dakota,46,SD,Lake,46079,2019,9,228,3.40%
South Dakota,46,SD,Lawrence,46081,2019,9,409,3.00%
South Dakota,46,SD,Lincoln,46083,2019,9,839,2.40%
South Dakota,46,SD,Lyman,46085,2019,9,68,4.00%
South Dakota,46,SD,McCook,46087,2019,9,83,3.50%
South Dakota,46,SD,McPherson,46089,2019,9,79,2.60%
South Dakota,46,SD,Marshall,46091,2019,9,41,4.00%
South Dakota,46,SD,Meade,46093,2019,9,464,3.30%
